metric_group,metric_name,value,source
baseline_date,date,2026-02-11,manual
hotspot_file,uSEQ/src/modulisp/lisp/builtins.cpp,2795,loc_scan
hotspot_file,uSEQ/src/modulisp/modulisp_api.cpp,2314,loc_scan
hotspot_file,uSEQ/src/uSEQ.cpp,1736,loc_scan
hotspot_file,uSEQ/src/modulisp/lisp/value.cpp,1574,loc_scan
hotspot_file,uSEQ/src/uSEQ/io_manager.cpp,1014,loc_scan
module_loc,uSEQ/src/modulisp,11895,loc_scan
module_loc,uSEQ/src/dsp,6902,loc_scan
module_loc,uSEQ/src/uSEQ,2817,loc_scan
module_loc,uSEQ/src/utils,2757,loc_scan
scoped_file_loc,uSEQ/src/uSEQ.cpp,1736,scan(useq-tp1.1)
scoped_file_loc,uSEQ/src/uSEQ_api.cpp,761,scan(useq-tp1.1)
scoped_file_loc,uSEQ/src/uSEQ_update.cpp,285,scan(useq-tp1.1)
scoped_file_loc,uSEQ/src/modulisp/modulisp_api.cpp,2314,scan(useq-tp1.1)
scoped_file_loc,uSEQ/src/modulisp/lisp/builtins.cpp,2795,scan(useq-tp1.1)
scoped_file_loc,uSEQ/src/uSEQ/io_manager.cpp,1014,scan(useq-tp1.1)
scoped_file_includes,uSEQ/src/uSEQ.cpp,28,scan(useq-tp1.1)
scoped_file_includes,uSEQ/src/uSEQ_api.cpp,6,scan(useq-tp1.1)
scoped_file_includes,uSEQ/src/uSEQ_update.cpp,3,scan(useq-tp1.1)
scoped_file_includes,uSEQ/src/modulisp/modulisp_api.cpp,4,scan(useq-tp1.1)
scoped_file_includes,uSEQ/src/modulisp/lisp/builtins.cpp,8,scan(useq-tp1.1)
scoped_file_includes,uSEQ/src/uSEQ/io_manager.cpp,11,scan(useq-tp1.1)
scoped_file_method_defs,uSEQ/src/uSEQ.cpp,43,scan(useq-tp1.1)
scoped_file_method_defs,uSEQ/src/uSEQ_api.cpp,46,scan(useq-tp1.1)
scoped_file_method_defs,uSEQ/src/uSEQ_update.cpp,8,scan(useq-tp1.1)
scoped_file_method_defs,uSEQ/src/modulisp/modulisp_api.cpp,41,scan(useq-tp1.1)
scoped_file_method_defs,uSEQ/src/uSEQ/io_manager.cpp,35,scan(useq-tp1.1)
scoped_file_keyword_static,uSEQ/src/uSEQ.cpp,1,scan(useq-tp1.1)
scoped_file_keyword_static,uSEQ/src/uSEQ_update.cpp,2,scan(useq-tp1.1)
scoped_file_keyword_static,uSEQ/src/uSEQ/io_manager.cpp,2,scan(useq-tp1.1)
builtins_prefix_count,ard_*,18,scan(useq-tp1.1)
builtins_prefix_count,useq_*,2,scan(useq-tp1.1)
builtins_prefix_count,core_lisp_list_control,29,scan(useq-tp1.1)
useq_api_group_count,analog_set_wrappers,8,scan(useq-tp1.1)
useq_api_group_count,digital_set_wrappers,8,scan(useq-tp1.1)
useq_api_group_count,serial_set_wrappers,8,scan(useq-tp1.1)
useq_api_group_count,analog_get_wrappers,8,scan(useq-tp1.1)
useq_api_group_count,digital_get_wrappers,8,scan(useq-tp1.1)
useq_api_group_count,analog_input_wrappers,2,scan(useq-tp1.1)
useq_api_group_count,digital_input_wrappers,2,scan(useq-tp1.1)
