Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10u,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,171.9,-32.8,0.0,top
C2,100n,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,159.3,-70.0,90.0,top
C3,10n,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,175.6,-95.7,-90.0,top
C4,10n,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,155.7,-95.4,180.0,top
C5,(10n),C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,176.6375,-104.7,0.0,top
D1,1N5819,D_SOD-323,160.3,-29.5,90.0,top
D2,1N5819,D_SOD-323,156.6,-29.5,-90.0,top
D3,1N5819,D_SOD-323,152.9,-29.5,-90.0,top
D4,1N5819,D_SOD-323,164.0,-29.5,90.0,top
D5,1N5819,D_SOD-323,172.0,-37.0,0.0,top
Q1,2N3904,SOT-23-3,174.966,-82.506,-90.0,top
Q2,2N3904,SOT-23-3,153.884,-55.362,0.0,top
R1,100k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,180.0,-87.5,0.0,top
R2,100k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,149.7,-87.4,-90.0,top
R3,1k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,181.2,-95.9,180.0,top
R4,1k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,150.6,-98.0,180.0,top
R5,1k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,180.0,-107.6,0.0,top
R6,1k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,152.0,-107.5,0.0,top
R7,1k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,168.6,-93.4,90.0,top
R8,1k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,163.2,-88.6,-90.0,top
R9,1k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,168.7,-103.9,90.0,top
R10,1k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,163.4,-99.1,-90.0,top
R11,1k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,168.6,-114.25,90.0,top
R12,1k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,163.5,-109.5,-90.0,top
R13,1k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,168.5,-124.0,90.0,top
R14,1k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,163.0,-120.5,-90.0,top
R15,1k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,180.5,-119.0,180.0,top
R16,1k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,152.05,-117.5,0.0,top
U2,4504,SOIC-16_3.9x9.9mm_P1.27mm,157.4,-79.5,0.0,top
