"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U2";"SOIC-16_3.9x9.9mm_P1.27mm";1;"4504";;;
2;"R10,R15,R3,R16,R14,R5,R12,R6,R13,R7,R11,R8,R9,R4";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";14;"1k";;;
3;"R2,R1";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";2;"100k";;;
4;"C6,C7,C8,C5";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";4;"(10n)";;;
5;"C3,C4";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";2;"10n";;;
6;"Q1,Q2";"SOT-23-3";2;"2N3904";;;
7;"D3,D4,D2,D5,D1";"D_SOD-323";5;"1N5819";;;
8;"C1";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";1;"10u";;;
9;"C2";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";1;"100n";;;
10;"S2";"Switch_Tactile_SMD_B3U-1000P";1;"B3U-1000P";;;
